rep,alp,num_cell,cell_size,sparse_freq,error
1,0.1,300,4,1,7.3620528028646985
1,0.1,300,4,2,2.727330490425373
1,0.1,300,4,4,4.950816293321218
1,0.1,300,4,8,7.139734659260012
1,0.1,300,8,1,6.009978262406579
1,0.1,300,8,2,2.5902995863454645
1,0.1,300,8,4,4.742993859702311
1,0.1,300,8,8,6.869778956781584
1,0.1,200,1,1,19.15103252605365
1,0.1,200,1,2,21.169921514611584
1,0.1,200,1,4,23.175779192519503
1,0.1,200,1,8,24.74110830860523
1,0.1,200,2,1,15.683521632578588
1,0.1,200,2,2,17.77018149262302
1,0.1,200,2,4,16.315931521964764
1,0.1,200,2,8,13.274982436576188
1,0.1,200,4,1,13.763525951094266
1,0.1,200,4,2,11.90186299078288
1,0.1,200,4,4,5.290446383530573
1,0.1,200,4,8,7.277746315355054
1,0.1,200,8,1,11.922038985858176
1,0.1,200,8,2,7.418450330355733
1,0.1,200,8,4,5.187456613382193
1,0.1,200,8,8,7.154782873627263
1,0.1,100,1,1,26.705430379405378
1,0.1,100,1,2,31.80847820048781
1,0.1,100,1,4,34.679717749444734
1,0.1,100,1,8,35.84797330950761
1,0.1,100,2,1,25.975558310007536
1,0.1,100,2,2,33.24336572300563
1,0.1,100,2,4,39.88091112287891
1,0.1,100,2,8,43.754403159772615
1,0.1,100,4,1,23.94507712019814
1,0.1,100,4,2,34.35522091653076
1,0.1,100,4,4,34.115732632367916
1,0.1,100,4,8,27.712435479405187
1,0.1,100,8,1,22.41248510374052
1,0.1,100,8,2,31.096335084123055
1,0.1,100,8,4,32.519667792506134
1,0.1,100,8,8,29.96784037779799
1,0.01,500,1,1,25.457069461331994
1,0.01,500,1,2,34.65249742807767
1,0.01,500,1,4,43.46113016132809
1,0.01,500,1,8,43.818157968043366
1,0.01,500,2,1,22.692419186135425
1,0.01,500,2,2,20.37217402606653
1,0.01,500,2,4,17.51665129704743
1,0.01,500,2,8,30.41947995766488
1,0.01,500,4,1,22.10677254932541
1,0.01,500,4,2,1.7453016152721237
1,0.01,500,4,4,3.714866854719159
1,0.01,500,4,8,16.95255840427029
1,0.01,500,8,1,19.916689256897357
1,0.01,500,8,2,1.2521359314663647
